"Baseball Team Name","Affiliate: Baseball Team Name","Capacity","Conference","Division","Established","League","Photo","Photo Color","Stadium Address","Stadium Location (Latitude)","Stadium Location (Longitude)","Stadium"
"Cedar Rapids Kernels","Minnesota Twins","5300","Midwest League","Western","1890","A","Twins/Kernels-Logo.png","#009858","950 Rockford Rd SW, Cedar Rapids, IA 52404","41.967","-91.685","Veterans Memorial Stadium"
"Charleston RiverDogs","New York Yankees","6000","South Atlantic League","Southern","1980","A","Yankees/RiverDogs-Logo.png","#0f1f2e","360 Fishburne St, Charleston, SC 29403","32.790","-79.961","Joseph P. Riley, Jr. Park"
"Charlotte Knights","Chicago White Sox","10200","International League","South","1976","AAA","WhiteSox/Knights-Logo.png","#ba9f67","324 S Mint St, Charlotte, NC 28202","35.228","-80.849","BB&T Ballpark"
"Charlotte Stone Crabs","Tampa Bay Rays","7670","Florida State League","South","1980","A+","Rays/StoneCrabs-Logo.png","#79bde8","2300 El Jobean Rd, Port Charlotte, FL 33948","26.998","-82.183","Charlotte Sports Park"
"Chattanooga Lookouts","Cincinnati Reds","6382","Southern League","North","1885","AA","Reds/Lookouts-Logo.png","#ed1c24","201 Power Alley, Chattanooga, TN 37402","35.054","-85.314","AT&T Field"
"Chicago Cubs","","41649","National League","NL Central","1870","MLB","Cubs/Cubs-Logo.png","#003479","1060 W Addison St, Chicago, IL 60613","41.948","-87.655","Wrigley Field"
"Chicago White Sox","","40615","American League","AL Central","1900","MLB","WhiteSox/WhiteSox-Logo.png","#231f20","333 W 35th St, Chicago, IL 60616","41.830","-87.634","Guaranteed Rate Field"
"Cincinnati Reds","","42319","National League","NL Central","1881","MLB","Reds/Reds-Logo.png","#be0f34","100 Joe Nuxhall Way, Cincinnati, OH 45202","39.097","-84.507","Great American Ball Park"
"Clearwater Threshers","Philadelphia Phillies","8500","Florida State League","North","1985","A+","Phillies/Threshers-Logo.jpg","#d40026","601 N Old Coachman Rd., Clearwater, FL 33765","27.971","-82.732","Spectrum Field"
"Cleveland Indians","","35041","American League","AL Central","1894","MLB","Indians/Indians-Logo.png","#e41234","2401 Ontario St, Cleveland, OH 44115","41.496","-81.685","Progressive Field"
"Clinton LumberKings","Miami Marlins","5500","Midwest League","Western","1954","A","Marlins/LumberKings-Logo.png","#00b259","537 Ball Park Dr, Clinton, IA 52732","41.849","-90.185","NelsonCorp Field"
"Colorado Rockies","","50398","National League","NL West","1993","MLB","Rockies/Rockies-Logo.png","#303066","2001 Blake St, Denver, CO 80205","39.756","-104.994","Coors Field"
"Columbia Fireflies","New York Mets","9077","South Atlantic League","Southern","2016","A","Mets/Fireflies-Logo.png","#1a315d","1640 Freed Street, Columbia, SC 29201","34.018","-81.031","Segra Park"
"Columbus Clippers","Cleveland Indians","10100","International League","West","1977","AAA","Indians/Clippers-Logo.jpg","#002d57","330 Huntington Park Ln, Columbus, OH 43215","39.969","-83.012","Huntington Park"
"Corpus Christi Hooks","Houston Astros","7679","Texas League","South","1968","AA","Astros/Hooks-Logo.png","#4f90cc","734 E Port Ave, Corpus Christi, TX 78401","27.810","-97.399","Whataburger Field"
"Danville Braves","Atlanta Braves","2588","Appalachian League","East","1993","R","Braves/Danville-Logo.png","#cd1041","302 River Park Dr Danville, VA 24540","36.576","-79.371","American Legion Field"
"Daytona Tortugas","Cincinnati Reds","5100","Florida State League","North","1993","A+","Reds/Tortugas-Logo.jpg","#005947","110 E Orange Ave, Daytona Beach, FL 32114","29.209","-81.015","Jackie Robinson Memorial Baseball Park"
"Dayton Dragons","Cincinnati Reds","7230","Midwest League","Eastern","1988","A","Reds/Dragons-Logo.png","#00853f","220 N Patterson Blvd, Dayton, OH 45402","39.764","-84.186","Day Air Ballpark"
"Delmarva Shorebirds","Baltimore Orioles","5200","South Atlantic League","Northern","1996","A","Orioles/Shorebirds-Logo.png","#f26532","6400 Hobbs Rd, Salisbury, MD 21804","38.370","-75.531","Arthur W. Perdue Stadium"
"Detroit Tigers","","41297","American League","AL Central","1894","MLB","Tigers/Tigers-Logo.png","#052342","2100 Woodward Ave, Detroit, MI 48201","42.339","-83.049","Comerica Park"
"Down East Wood Ducks","Texas Rangers","4100","Carolina League","Southern","2017","A+","Rangers/WoodDucks-Logo.png","#00833f","400 E Grainger Ave, Kinston, NC 28502","35.270","-77.575","Grainger Stadium"
"Dunedin Blue Jays","Toronto Blue Jays","5509","Florida State League","North","1987","A+","BlueJays/Dunedin-Logo.png","#003da5","373 Douglas Ave, Dunedin, FL 34698","28.004","-82.787","TD Ballpark"
"Durham Bulls","Tampa Bay Rays","10000","International League","South","1902","AAA","Rays/Bulls-Logo.png","#28539c","409 Blackwell St, Durham, NC 27701","35.992","-78.904","Durham Bulls Athletic Park"
"Elizabethton Twins","Minnesota Twins","2000","Appalachian League","West","1974","R","Twins/Elizabethton-Logo.png","#cf0f40","208 Holly Ln, Elizabethton, TN 37643","36.354","-82.232","Joe O'Brien Field"
"El Paso Chihuahuas","San Diego Padres","10000","Pacific Coast League","Pacific Southern","2014","AAA","Padres/Chihuahuas-Logo.png","#c02f44","1 Ballpark Plaza, El Paso, TX 79901","31.759","-106.493","Southwest University Park"
"Erie SeaWolves","Detroit Tigers","6000","Eastern League","Western","1995","AA","Tigers/SeaWolves-Logo.png","#fbb040","110 E 10th St, Erie, PA 16501","42.127","-80.080","UPMC Park"
"Eugene Emeralds","Chicago Cubs","4000","Northwest League","South","1955","SS","Cubs/Emeralds-Logo.jpg","#29755b","2800 Martin Luther King Jr Blvd, Eugene, OR 97401","44.059","-123.065","PK Park"
"Everett AquaSox","Seattle Mariners","3682","Northwest League","North","1984","SS","Mariners/AquaSox-Logo.png","#d6e03e","3900 Broadway, Everett, WA 98201","47.967","-122.203","Funko Field"
"Fayetteville Woodpeckers","Houston Astros","4786","Carolina League","Southern","2017","A+","Astros/Woodpeckers-Logo.png","#861e2c","Hay St, Fayetteville, NC 28301","35.055","-78.883","Segra Stadium"
"Florida Fire Frogs","Atlanta Braves","8000","Florida State League","North","2017","A+","Braves/FireFrogs-Logo.png","#d31245","18800 South, W Villages Pkwy, Venice, FL 34293","27.033","-82.320","CoolToday Park"
"Fort Myers Mighty Mussels","Minnesota Twins","9300","Florida State League","South","1926","A+","Twins/MightyMussels-Logo.png","#8056a5","14100 6 Mile Cypress Pkwy, Fort Myers, FL 33912","26.538","-81.842","Hammond Stadium"
"Fort Wayne TinCaps","San Diego Padres","8100","Midwest League","Eastern","1947","A","Padres/TinCaps-Logo.jpg","#ed2e24","1301 Ewing St, Fort Wayne, IN 46802","41.075","-85.143","Parkview Field"
"Frederick Keys","Baltimore Orioles","5400","Carolina League","Northern","1989","A+","Orioles/Keys-Logo.jpg","#fa6916","21 Stadium Dr, Frederick, MD 21703","39.402","-77.414","Harry Grove Stadium"
"Fredericksburg Nationals","Washington Nationals","5000","Carolina League","Northern","2020","A+","Nationals/Fredericksburg-Logo.png","#002e62","Fredericksburg, VA (In Progress)","38.298","-77.525","New Fredericksburg Ballpark"
"Fresno Grizzlies","Washington Nationals","10500","Pacific Coast League","Pacific Northern","1998","AAA","Nationals/Grizzlies-Logo.png","#ff4819","1800 Tulare St, Fresno, CA 93721","36.732","-119.790","Chukchansi Park"
"Frisco RoughRiders","Texas Rangers","10216","Texas League","South","2003","AA","Rangers/RoughRiders-Logo.png","#782734","7300 Roughriders Trail, Frisco, TX 75034","33.098","-96.820","Dr Pepper Ballpark"
"Grand Junction Rockies","Colorado Rockies","10000","Pioneer League","South","1978","R","Rockies/GrandJunction-Logo.jpg","#27308b","1315 North Ave, Grand Junction, CO 81501","39.076","-108.550","Suplizio Field"
"Great Falls Voyagers","Chicago White Sox","4000","Pioneer League","North","1969","R","WhiteSox/Voyagers-Logo.jpg","#ef3125","1015 25th St N, Great Falls, MT 59401","47.516","-111.260","Centene Stadium"
"Great Lakes Loons","Los Angeles Dodgers","5500","Midwest League","Eastern","1982","A","Dodgers/Loons-Logo.png","#006e51","825 E Main St, Midland, MI 48640","43.609","-84.237","Dow Diamond"
"Greeneville Reds","Cincinnati Reds","4000","Appalachian League","West","2018","R","Reds/Greeneville-Logo.jpg","#b10e29","135 Shiloh Rd, Tusculum, TN 37745","36.173","-82.756","Pioneer Park"
"Greensboro Grasshoppers","Pittsburgh Pirates","7499","South Atlantic League","Northern","1979","A","Pirates/Grasshoppers-Logo.png","#0c5130","408 Bellemeade St, Greensboro, NC 27401","36.076","-79.796","First National Bank Field"
"Greenville Drive","Boston Red Sox","6700","South Atlantic League","Southern","1993","A","RedSox/Drive-Logo.png","#e51837","945 S Main St, Greenville, SC 29601","34.842","-82.408","Fluor Field"
"Gwinnett Stripers","Atlanta Braves","10427","International League","South","1901","AAA","Braves/Stripers-Logo.jpg","#091c3d","2500 Buford Dr, Lawrenceville, GA 30043","34.041","-83.993","Coolray Field"
"Hagerstown Suns","Washington Nationals","4600","South Atlantic League","Northern","1981","A","Nationals/Suns-Logo.png","#d31245","274 E Memorial Blvd, Hagerstown, MD 21740","39.633","-77.712","Municipal Stadium"
"Harrisburg Senators","Washington Nationals","6187","Eastern League","Western","1987","AA","Nationals/Senators-Logo.png","#002962","245 Championship Way, Harrisburg, PA 17101","40.257","-76.890","FNB Field"
